User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Accountant,ASIA4YZW5TMGRKEWPBWV,2022-11-19T17:27:29Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],7bd86ba2-5042-4951-9158-a338beead710,0b78f427-8eba-4eb6-82a0-1f56d7b67b29,FALSE,AwsApiCall,8.78E+11,Management
Accountant,,2022-11-19T17:27:19Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.172.163.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",,[],,decf29e2-b15a-4685-8e20-64a860ac82f8,FALSE,AwsConsoleSignIn,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:31Z,cloudtrail.amazonaws.com,PutEventSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:877899127565:trail/Udacity_Trail""}]",dfe0efd2-56ab-4981-a5ba-90a498456b89,97c16b5c-e557-410a-ae19-61bb3164ee6c,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:31Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:877899127565:trail/Udacity_Trail""}]",2a6cba03-fbc2-409a-8f8a-b7e9a0429f08,98c2551e-8dca-4601-bda9-b8ca81c1e296,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:31Z,cloudtrail.amazonaws.com,CreateTrail,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:877899127565:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-877899127565-8295f25f""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:877899127565:key/ae381c5c-4e3d-4a39-875f-1225623c55bf""}]",8165d078-9005-4526-97d6-4e93987fd2b7,eaa30cdf-aa7a-463a-8506-f22edee63717,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:31Z,cloudtrail.amazonaws.com,PutInsightSelectors,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:877899127565:trail/Udacity_Trail""}]",71154063-5e19-400c-8dd8-e829a00d666d,f76be1d4-2f6c-459f-95a3-199686a6c43d,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:30Z,s3.amazonaws.com,PutBucketPublicAccessBlock,us-east-1,71.172.163.35,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.10.144-111.639.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-877899127565-8295f25f""}]",ARBJZ2S65ZWHENMB,18285ddf-be83-46fd-b723-4434f9f78228,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:30Z,s3.amazonaws.com,PutBucketPolicy,us-east-1,71.172.163.35,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.10.144-111.639.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-877899127565-8295f25f""}]",ARBRBR59QEGBT0KY,bca14af4-fb3c-4bb2-9abb-6d50f29af3ba,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:30Z,s3.amazonaws.com,CreateBucket,us-east-1,71.172.163.35,"[AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.1030 Linux/5.10.144-111.639.amzn2int.x86_64 OpenJDK_64-Bit_Server_VM/25.322-b06 java/1.8.0_322 vendor/Oracle_Corporation cfg/retry-mode/standard]",,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""aws-cloudtrail-logs-877899127565-8295f25f""}]",ARBVN9B2PNT935VD,d75d5bb3-f248-46d6-af5b-86a6e2a46fba,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:30Z,kms.amazonaws.com,CreateAlias,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:877899127565:key/ae381c5c-4e3d-4a39-875f-1225623c55bf""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""ae381c5c-4e3d-4a39-875f-1225623c55bf""}]",b1cfdb52-b738-4c03-a4d3-3def0781dde1,e23537ba-5344-46e5-bc29-fbd3ba885215,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGS7XJCQNW,2022-11-19T17:11:30Z,kms.amazonaws.com,CreateKey,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::KMS::Key"",""resourceName"":""arn:aws:kms:us-east-1:877899127565:key/ae381c5c-4e3d-4a39-875f-1225623c55bf""},{""resourceType"":""AWS::KMS::Key"",""resourceName"":""ae381c5c-4e3d-4a39-875f-1225623c55bf""}]",a8230a94-4ead-4d84-a3bd-f42c25d4eae5,f7e17c32-b227-40b0-8ee1-eee05a1b75b0,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,ASIA4YZW5TMGXGMVRL7M,2022-11-19T17:01:17Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],8207475d-cf93-4389-9579-1a5ab219ed0c,74761d98-8ea4-4b76-bdad-9aaaa1028236,FALSE,AwsApiCall,8.78E+11,Management
CloudTrail,,2022-11-19T17:01:02Z,signin.amazonaws.com,ConsoleLogin,us-east-1,71.172.163.35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",,[],,d9c5ff32-e38e-44e2-9c4e-5ef081e3d35a,FALSE,AwsConsoleSignIn,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:56:54Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",9bdec673-e979-4955-a832-cb28c1ec479f,0fe01dec-ad7f-4763-b2cc-2562a1ce9a9d,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:56:54Z,iam.amazonaws.com,AddUserToGroup,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",d6768aa7-bd1d-402f-bf65-587ae2f632d4,86410a91-2193-4d43-be2f-dc7f68fdef2b,FALSE,AwsApiCall,8.78E+11,Management
user2120002=ef8bb99a-2e1d-11ed-a2c4-cbd2202b2ca2,ASIA4YZW5TMGX2OGLAXK,2022-11-19T16:56:54Z,iam.amazonaws.com,CreateUser,us-east-1,AWS Internal,AWS Internal,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4YZW5TMGTRSIAUGEY""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::877899127565:user/Accountant""}]",10f42122-13f6-4683-8d63-f121e79fe965,fd2bbb2d-9c8d-499f-89a1-449a53d42a7e,FALSE,AwsApiCall,8.78E+11,Management
